id,words,risk
1,Access,Urgency  
2,Access now,Urgency  
3,Act,Urgency  
4,Act immediately,Urgency  
5,Act now,Urgency  
6,Act now!,Urgency  
7,Action,Urgency  
8,Action required,Urgency  
9,Apply here,Urgency  
10,Apply now,Urgency  
11,Apply now!,Urgency  
12,Apply online,Urgency  
13,Become a member,Urgency  
14,Before it's too late,Urgency  
15,Being a member,Urgency  
16,Buy,Urgency  
17,Buy direct,Urgency  
18,Buy now,Urgency  
19,Buy today,Urgency  
20,Call,Urgency  
21,Call free,Urgency  
22,Call free/now,Urgency  
23,Call me,Urgency  
24,Call now,Urgency  
25,Call now!,Urgency  
26,Can we have a minute of your time?,Urgency  
27,Cancel now,Urgency  
28,Cancellation required,Urgency  
29,Claim now,Urgency  
30,Click,Urgency  
31,Click below,Urgency  
32,Click here,Urgency  
33,Click me to download,Urgency  
34,Click now,Urgency  
35,Click this link,Urgency  
36,Click to get,Urgency  
37,Click to remove,Urgency  
38,Contact us immediately,Urgency  
39,Deal ending soon,Urgency  
40,Do it now,Urgency  
41,Do it today,Urgency  
42,Don't delete,Urgency  
43,Don't hesitate,Urgency  
44,Don't waste time,Urgency  
45,Don't delete,Urgency  
46,Exclusive deal,Urgency  
47,Expire,Urgency  
48,Expires today,Urgency  
49,Final call,Urgency  
50,For instant access,Urgency  
51,For Only,Urgency  
52,For you,Urgency  
53,Friday before [holiday],Urgency  
54,Get it away,Urgency  
55,Get it now,Urgency  
56,Get now,Urgency  
57,Get paid,Urgency  
58,Get started,Urgency  
59,Get started now,Urgency  
60,Great offer,Urgency  
61,Hurry up,Urgency  
62,Immediately,Urgency  
63,Info you requested,Urgency  
64,Information you requested,Urgency  
65,Instant,Urgency  
66,Limited time,Urgency  
67,New customers only,Urgency  
68,Now,Urgency  
69,Now only,Urgency  
70,Offer expires,Urgency  
71,Once in lifetime,Urgency  
72,Only,Urgency  
73,Order now,Urgency  
74,Order today,Urgency  
75,Please read,Urgency  
76,Purchase now,Urgency  
77,Sign up free,Urgency  
78,Sign up free today,Urgency  
79,Supplies are limited,Urgency  
80,Take action,Urgency  
81,Take action now,Urgency  
82,This won't last,Urgency  
83,Time limited,Urgency  
84,Today,Urgency  
85,Top urgent,Urgency  
86,Trial,Urgency  
87,Urgent,Urgency  
88,What are you waiting for?,Urgency  
89,While supplies last,Urgency  
90,You are a winner,Urgency  
91,0 down,Shady
92,All,Shady
93,All natural,Shady
94,All natural/new,Shady
95,All new,Shady
96,All-natural,Shady
97,All-new,Shady
98,Allowance,Shady
99,As seen on,Shady
100,As seen on Oprah,Shady
101,At no cost,Shady
102,Auto email removal,Shady
103,Avoice bankruptcy,Shady
104,Avoid,Shady
